id	family	query	decl_type	decl_mult	sql	java_class	value	status	verdict
cx.gt.Int.DTime	cross	|1 > %2024-03-15T10:30:45						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThan' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=DATE_TIME, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.le.Int.DTime	cross	|1 <= %2024-03-15T10:30:45						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::lessThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=DATE_TIME, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.ge.Int.DTime	cross	|1 >= %2024-03-15T10:30:45						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=DATE_TIME, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.eq.Int.Bool	cross	|1 == true	Boolean	[1]	SELECT 1 = TRUE AS value	Boolean	true	OK	OK
cx.ne.Int.Bool	cross	|1 != true	Boolean	[1]	SELECT 1 <> TRUE AS value	Boolean	false	OK	OK
cx.lt.Int.Bool	cross	|1 < true						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::lessThan' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=BOOLEAN, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]	G-REJECT
cx.gt.Int.Bool	cross	|1 > true						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThan' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=BOOLEAN, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.le.Int.Bool	cross	|1 <= true						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::lessThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=BOOLEAN, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.ge.Int.Bool	cross	|1 >= true						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=BOOLEAN, multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.eq.Int.Enum	cross	|1 == t::Color.RED	Boolean	[1]	SELECT FALSE AS value	Boolean	false	OK	OK
cx.ne.Int.Enum	cross	|1 != t::Color.RED	Boolean	[1]	SELECT NOT FALSE AS value	Boolean	true	OK	OK
cx.lt.Int.Enum	cross	|1 < t::Color.RED						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::lessThan' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=EnumType[fqn=t::Color], multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]	G-REJECT
cx.gt.Int.Enum	cross	|1 > t::Color.RED						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThan' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=EnumType[fqn=t::Color], multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.le.Int.Enum	cross	|1 <= t::Color.RED						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::lessThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=EnumType[fqn=t::Color], multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.ge.Int.Enum	cross	|1 >= t::Color.RED						G-ERR:TypeInferenceException: no overload of 'meta::pure::functions::boolean::greaterThanEqual' structurally matches the argument types (ExprType[type=INTEGER, multiplicity=Bounded[lower=1, upper=1]], ExprType[type=EnumType[fqn=t::Color], multiplicity=Bounded[lower=1, upper=1]]); [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=DATE, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=DATE, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=NUMBER, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=0, upper=1]]]; [TypedParameter[name=left, type=STRING, multiplicity=Bounded[lower=1, upper=1]], TypedParameter[name=right, type=STRING, multiplicity=Bounded[lower=1, upper=1]]]; [TypedParameter[name=left, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]], TypedParameter[name=right, type=BOOLEAN, multiplicity=Bounded[lower=0, upper=1]]]	G-REJECT
cx.eq.Float.Int	cross	|1.0 == 1	Boolean	[1]	SELECT CAST(1.0 AS DOUBLE) = 1 AS value	Boolean	true	OK	OK
