# Generated by mutants.py -- what legend-engine does with each damaged fixture.
# NOT a correctness oracle: it records behaviour, not what behaviour should be.
# legend-lite must produce the same verdict for the same input.
# fixture	operator	site	verdict	message
service-execenv.pure	brace-body-to-paren	line at 852	REJECTED	Unexpected token '('
service-execenv.pure	brace-body-to-paren	line at 1180	REJECTED	Unexpected token '('
service-execenv.pure	delete-field	mapping: fixture::env::Mapping1;	REJECTED	Unexpected token 'runtime'. Valid alternatives: ['mapping']
service-execenv.pure	delete-field	runtime: fixture::env::Runtime1;	REJECTED	Unexpected token '}'. Valid alternatives: ['runtime', 'runtimeComponents']
service-execenv.pure	delete-field	mapping: fixture::env::Mapping2;	REJECTED	Unexpected token 'runtime'. Valid alternatives: ['mapping']
service-execenv.pure	drop-semicolon	runtime: fixture::env::Runtime1;	REJECTED	Unexpected token
service-execenv.pure	drop-semicolon	mapping: fixture::env::Mapping2;	REJECTED	Unexpected token
service-execenv.pure	drop-semicolon	mapping: fixture::env::Mapping1;	REJECTED	Unexpected token
service-execenv.pure	duplicate-field	mapping: fixture::env::Mapping1;	REJECTED	Unexpected token 'mapping'. Valid alternatives: ['runtime', 'runtimeComponents']
service-execenv.pure	duplicate-field	runtime: fixture::env::Runtime1;	REJECTED	Field 'runtime' should be specified only once
service-execenv.pure	duplicate-field	mapping: fixture::env::Mapping2;	REJECTED	Unexpected token 'mapping'. Valid alternatives: ['runtime', 'runtimeComponents']
service-execenv.pure	keyword-lowercase	ExecutionEnvironment -> executionEnvironment	ACCEPTED	
service-execenv.pure	keyword-lowercase	Nested -> nested	ACCEPTED	
service-execenv.pure	keyword-lowercase	PROD -> pROD	ACCEPTED	
service-execenv.pure	swap-siblings	mapping: fixture::env::Mapping1;	REJECTED	Unexpected token 'runtime'. Valid alternatives: ['mapping']
service-execenv.pure	swap-siblings	mapping: fixture::env::Mapping2;	REJECTED	Unexpected token 'runtime'. Valid alternatives: ['mapping']
service-execenv.pure	swap-siblings	class: fixture::env::Person;	ACCEPTED	
service-execenv.pure	wrong-section	Service -> Text	REJECTED	Unexpected token 'ExecutionEnvironment'. Valid alternatives: ['Text']
service-full.pure	brace-body-to-paren	line at 853	REJECTED	Unexpected token '('
service-full.pure	brace-body-to-paren	line at 1047	REJECTED	Unexpected token '('
service-full.pure	brace-body-to-paren	line at 1899	REJECTED	Unexpected token '('
service-full.pure	delete-field	stereotypes: [reviewed];	ACCEPTED	
service-full.pure	delete-field	tags: [team];	ACCEPTED	
service-full.pure	delete-field	import fixture::svc::*;	ACCEPTED	
service-full.pure	drop-semicolon	tags: [team];	REJECTED	Unexpected token
service-full.pure	drop-semicolon	import fixture::svc::*;	REJECTED	Unexpected token
service-full.pure	drop-semicolon	stereotypes: [reviewed];	REJECTED	Unexpected token
service-full.pure	duplicate-field	stereotypes: [reviewed];	REJECTED	Field 'stereotypes' should be specified only once
service-full.pure	duplicate-field	tags: [team];	REJECTED	Field 'tags' should be specified only once
service-full.pure	duplicate-field	import fixture::svc::*;	ACCEPTED	
service-full.pure	island-close-plain	offset 3134	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
service-full.pure	island-close-plain	offset 3524	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
service-full.pure	island-open-plain	offset 3011	REJECTED	Unexpected token '{'
service-full.pure	island-open-plain	offset 3446	REJECTED	Unexpected token '{'
service-full.pure	keyword-lowercase	Byte -> byte	ACCEPTED	
service-full.pure	keyword-lowercase	EqualTo -> equalTo	ACCEPTED	
service-full.pure	keyword-lowercase	ExternalFormat -> externalFormat	REJECTED	Unknown embedded data type: externalFormat
service-full.pure	swap-siblings	stereotypes: [reviewed];	ACCEPTED	
service-full.pure	swap-siblings	pattern: '/fixture/owned';	ACCEPTED	
service-full.pure	swap-siblings	ownership: DID { identifier: '12345' };	ACCEPTED	
service-full.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Profile'. Valid alternatives: ['Text']
t2-athena.pure	brace-body-to-paren	line at 622	REJECTED	Unexpected token '('
t2-athena.pure	delete-field	store: fixture::t2::Db;	ACCEPTED	
t2-athena.pure	delete-field	type: Athena;	REJECTED	Field 'type' is required
t2-athena.pure	delete-field	region: 'region';	REJECTED	Field 'region' is required
t2-athena.pure	drop-semicolon	type: Athena;	REJECTED	Unexpected token
t2-athena.pure	drop-semicolon	region: 'region';	REJECTED	Unexpected token
t2-athena.pure	drop-semicolon	store: fixture::t2::Db;	REJECTED	Unexpected token
t2-athena.pure	duplicate-field	store: fixture::t2::Db;	REJECTED	Field 'store' should be specified only once
t2-athena.pure	duplicate-field	type: Athena;	REJECTED	Field 'type' should be specified only once
t2-athena.pure	duplicate-field	region: 'region';	REJECTED	Field 'region' should be specified only once
t2-athena.pure	keyword-lowercase	Athena -> athena	ACCEPTED	
t2-athena.pure	keyword-lowercase	AthenaFull -> athenaFull	ACCEPTED	
t2-athena.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
t2-athena.pure	swap-siblings	store: fixture::t2::Db;	ACCEPTED	
t2-athena.pure	swap-siblings	region: 'region';	ACCEPTED	
t2-athena.pure	swap-siblings	database: 'dbname';	ACCEPTED	
t2-athena.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
t2-aurora.pure	brace-body-to-paren	line at 1065	REJECTED	Unexpected token '('
t2-aurora.pure	brace-body-to-paren	line at 1466	REJECTED	Unexpected token '('
t2-aurora.pure	delete-field	store: fixture::t2::Db;	ACCEPTED	
t2-aurora.pure	delete-field	type: Aurora;	REJECTED	Field 'type' is required
t2-aurora.pure	delete-field	host: 'mydb.cluster-xyz.us-east-1.rds.amazonaws.com';	REJECTED	Field 'host' is required
t2-aurora.pure	drop-semicolon	type: Aurora;	REJECTED	Unexpected token
t2-aurora.pure	drop-semicolon	host: 'mydb.cluster-xyz.us-east-1.rds.amazonaws.com';	REJECTED	Unexpected token
t2-aurora.pure	drop-semicolon	store: fixture::t2::Db;	REJECTED	Unexpected token
t2-aurora.pure	duplicate-field	store: fixture::t2::Db;	REJECTED	Field 'store' should be specified only once
t2-aurora.pure	duplicate-field	type: Aurora;	REJECTED	Field 'type' should be specified only once
t2-aurora.pure	duplicate-field	host: 'mydb.cluster-xyz.us-east-1.rds.amazonaws.com';	REJECTED	Field 'host' should be specified only once
t2-aurora.pure	keyword-lowercase	Aurora -> aurora	ACCEPTED	
t2-aurora.pure	keyword-lowercase	AuroraCluster -> auroraCluster	ACCEPTED	
t2-aurora.pure	keyword-lowercase	AuroraGlobal -> auroraGlobal	ACCEPTED	
t2-aurora.pure	swap-siblings	store: fixture::t2::Db;	ACCEPTED	
t2-aurora.pure	swap-siblings	host: 'mydb.cluster-xyz.us-east-1.rds.amazonaws.com';	ACCEPTED	
t2-aurora.pure	swap-siblings	port: 5432;	ACCEPTED	
t2-aurora.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
t2-authentication.pure	brace-body-to-paren	line at 2950	REJECTED	Unexpected token '('
t2-authentication.pure	brace-body-to-paren	line at 3229	REJECTED	Unexpected token '('
t2-authentication.pure	brace-body-to-paren	line at 3522	REJECTED	Unexpected token '('
t2-authentication.pure	delete-field	database: legend_db;	REJECTED	Field 'database' is required
t2-authentication.pure	delete-field	store: fixture::mongo::Db;	ACCEPTED	
t2-authentication.pure	delete-field	serverURLs: [localhost:27017];	REJECTED	Field 'serverURLs' is required
t2-authentication.pure	drop-semicolon	store: fixture::mongo::Db;	REJECTED	Unexpected token
t2-authentication.pure	drop-semicolon	serverURLs: [localhost:27017];	REJECTED	Unexpected token
t2-authentication.pure	drop-semicolon	database: legend_db;	REJECTED	Unexpected token
t2-authentication.pure	duplicate-field	database: legend_db;	REJECTED	Field 'database' should be specified only once
t2-authentication.pure	duplicate-field	store: fixture::mongo::Db;	REJECTED	Field 'store' should be specified only once
t2-authentication.pure	duplicate-field	serverURLs: [localhost:27017];	REJECTED	Field 'serverURLs' should be specified only once
t2-authentication.pure	island-close-plain	offset 2500	ACCEPTED	
t2-authentication.pure	island-close-plain	offset 3178	REJECTED	Unexpected token
t2-authentication.pure	island-close-plain	offset 3465	REJECTED	Unexpected token
t2-authentication.pure	keyword-lowercase	AWSIdP -> aWSIdP	ACCEPTED	
t2-authentication.pure	keyword-lowercase	AWSSecretsManagerSecret -> aWSSecretsManagerSecret	ACCEPTED	
t2-authentication.pure	keyword-lowercase	ApiKey -> apiKey	ACCEPTED	
t2-authentication.pure	swap-siblings	database: legend_db;	ACCEPTED	
t2-authentication.pure	swap-siblings	store: fixture::mongo::Db;	ACCEPTED	
t2-authentication.pure	swap-siblings	database: legend_db;	ACCEPTED	
t2-authentication.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'MongoDBConnection'. Valid alternatives: ['Text']
t2-bigquery.pure	brace-body-to-paren	line at 1712	REJECTED	Unexpected token '('
t2-bigquery.pure	brace-body-to-paren	line at 2071	REJECTED	Unexpected token '('
t2-bigquery.pure	brace-body-to-paren	line at 2341	REJECTED	Unexpected token '('
t2-bigquery.pure	delete-field	store: fixture::bq::Db;	ACCEPTED	
t2-bigquery.pure	delete-field	type: BigQuery;	REJECTED	Field 'type' is required
t2-bigquery.pure	delete-field	projectId: 'proj1';	REJECTED	Field 'projectId' is required
t2-bigquery.pure	drop-semicolon	type: BigQuery;	REJECTED	Unexpected token
t2-bigquery.pure	drop-semicolon	projectId: 'proj1';	REJECTED	Unexpected token
t2-bigquery.pure	drop-semicolon	store: fixture::bq::Db;	REJECTED	Unexpected token
t2-bigquery.pure	duplicate-field	store: fixture::bq::Db;	REJECTED	Field 'store' should be specified only once
t2-bigquery.pure	duplicate-field	type: BigQuery;	REJECTED	Field 'type' should be specified only once
t2-bigquery.pure	duplicate-field	projectId: 'proj1';	REJECTED	Field 'projectId' should be specified only once
t2-bigquery.pure	keyword-lowercase	BigQuery -> bigQuery	ACCEPTED	
t2-bigquery.pure	keyword-lowercase	BigQueryFunction -> bigQueryFunction	ACCEPTED	
t2-bigquery.pure	keyword-lowercase	BigQueryFunctionDeploymentConfiguration -> bigQueryFunctionDeploymentConfiguration	ACCEPTED	
t2-bigquery.pure	swap-siblings	store: fixture::bq::Db;	ACCEPTED	
t2-bigquery.pure	swap-siblings	projectId: 'proj1';	ACCEPTED	
t2-bigquery.pure	swap-siblings	defaultDataset: 'dataset1';	ACCEPTED	
t2-bigquery.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
t2-databricks.pure	brace-body-to-paren	line at 858	REJECTED	Unexpected token '('
t2-databricks.pure	delete-field	store: fixture::dbx::Db;	ACCEPTED	
t2-databricks.pure	delete-field	type: Databricks;	REJECTED	Field 'type' is required
t2-databricks.pure	delete-field	hostname: 'dbc-1234.cloud.databricks.com';	REJECTED	Field 'hostname' is required
t2-databricks.pure	drop-semicolon	type: Databricks;	REJECTED	Unexpected token
t2-databricks.pure	drop-semicolon	hostname: 'dbc-1234.cloud.databricks.com';	REJECTED	Unexpected token
t2-databricks.pure	drop-semicolon	store: fixture::dbx::Db;	REJECTED	Unexpected token
t2-databricks.pure	duplicate-field	store: fixture::dbx::Db;	REJECTED	Field 'store' should be specified only once
t2-databricks.pure	duplicate-field	type: Databricks;	REJECTED	Field 'type' should be specified only once
t2-databricks.pure	duplicate-field	hostname: 'dbc-1234.cloud.databricks.com';	REJECTED	Field 'hostname' should be specified only once
t2-databricks.pure	keyword-lowercase	ApiToken -> apiToken	REJECTED	Unsupported Authentication Strategy type 'apiToken'
t2-databricks.pure	keyword-lowercase	Conn -> conn	ACCEPTED	
t2-databricks.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
t2-databricks.pure	swap-siblings	store: fixture::dbx::Db;	ACCEPTED	
t2-databricks.pure	swap-siblings	hostname: 'dbc-1234.cloud.databricks.com';	ACCEPTED	
t2-databricks.pure	swap-siblings	port: '443';	ACCEPTED	
t2-databricks.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
t2-dataquality.pure	brace-body-to-paren	line at 1833	REJECTED	Unexpected token '('
t2-dataquality.pure	brace-body-to-paren	line at 2324	REJECTED	Unexpected token '('
t2-dataquality.pure	brace-body-to-paren	line at 2560	REJECTED	Unexpected token '('
t2-dataquality.pure	delete-field	context: fromDataSpace(fixture::dq::PersonDataSpace, 'Local_	REJECTED	Field 'context' is required
t2-dataquality.pure	delete-field	filter: p: fixture::dq::Person[1]|$p.age >= 18;	ACCEPTED	
t2-dataquality.pure	delete-field	context: fromMappingAndRuntime(fixture::dq::PersonMapping, f	REJECTED	Field 'context' is required
t2-dataquality.pure	drop-semicolon	filter: p: fixture::dq::Person[1]|$p.age >= 18;	REJECTED	no viable alternative at input '.age>=18}'
t2-dataquality.pure	drop-semicolon	context: fromMappingAndRuntime(fixture::dq::PersonMapping, f	REJECTED	Unexpected token
t2-dataquality.pure	drop-semicolon	context: fromDataSpace(fixture::dq::PersonDataSpace, 'Local_	REJECTED	Unexpected token
t2-dataquality.pure	duplicate-field	context: fromDataSpace(fixture::dq::PersonDataSpace, 'Local_	REJECTED	Field 'context' should be specified only once
t2-dataquality.pure	duplicate-field	filter: p: fixture::dq::Person[1]|$p.age >= 18;	ACCEPTED	
t2-dataquality.pure	duplicate-field	context: fromMappingAndRuntime(fixture::dq::PersonMapping, f	REJECTED	Field 'context' should be specified only once
t2-dataquality.pure	island-close-plain	offset 2602	REJECTED	Unexpected token
t2-dataquality.pure	island-close-plain	offset 3109	REJECTED	Field 'target' is required
t2-dataquality.pure	island-close-plain	offset 3190	REJECTED	Unexpected token '<EOF>'. Valid alternatives: ['&&', '||', '==', '!=', '->', '[', '.', ';', '+', '*', '-', '/', '<', '<=
t2-dataquality.pure	keyword-lowercase	AGGREGATE -> aGGREGATE	ACCEPTED	
t2-dataquality.pure	keyword-lowercase	DataQualityRelationComparison -> dataQualityRelationComparison	ACCEPTED	
t2-dataquality.pure	keyword-lowercase	DataQualityRelationValidation -> dataQualityRelationValidation	ACCEPTED	
t2-dataquality.pure	swap-siblings	name: 'nameIsNotError';	ACCEPTED	
t2-dataquality.pure	swap-siblings	description: 'a row level validation';	ACCEPTED	
t2-dataquality.pure	swap-siblings	assertion: row|$row.name != 'error';	ACCEPTED	
t2-dataquality.pure	wrong-section	DataQualityValidation -> Text	REJECTED	Unexpected token 'DataQualityValidation'. Valid alternatives: ['Text']
t2-dataspace-email.pure	brace-body-to-paren	line at 926	REJECTED	Unexpected token '('
t2-dataspace-email.pure	delete-field	name: 'Context 1';	REJECTED	Field 'name' is required
t2-dataspace-email.pure	delete-field	mapping: fixture::ds::Mapping;	REJECTED	Field 'mapping' is required
t2-dataspace-email.pure	delete-field	defaultRuntime: fixture::ds::Runtime;	REJECTED	Field 'defaultRuntime' is required
t2-dataspace-email.pure	drop-semicolon	mapping: fixture::ds::Mapping;	REJECTED	Unexpected token
t2-dataspace-email.pure	drop-semicolon	defaultRuntime: fixture::ds::Runtime;	REJECTED	Unexpected token
t2-dataspace-email.pure	drop-semicolon	name: 'Context 1';	REJECTED	Unexpected token
t2-dataspace-email.pure	duplicate-field	name: 'Context 1';	REJECTED	Field 'name' should be specified only once
t2-dataspace-email.pure	duplicate-field	mapping: fixture::ds::Mapping;	REJECTED	Field 'mapping' should be specified only once
t2-dataspace-email.pure	duplicate-field	defaultRuntime: fixture::ds::Runtime;	REJECTED	Field 'defaultRuntime' should be specified only once
t2-dataspace-email.pure	keyword-lowercase	DataSpace -> dataSpace	ACCEPTED	
t2-dataspace-email.pure	keyword-lowercase	Email -> email	ACCEPTED	
t2-dataspace-email.pure	keyword-lowercase	EmailSupported -> emailSupported	ACCEPTED	
t2-dataspace-email.pure	swap-siblings	name: 'Context 1';	ACCEPTED	
t2-dataspace-email.pure	swap-siblings	mapping: fixture::ds::Mapping;	ACCEPTED	
t2-dataspace-email.pure	swap-siblings	documentationUrl: 'https://example.org/docs';	ACCEPTED	
t2-dataspace-email.pure	wrong-section	DataSpace -> Text	REJECTED	Unexpected token 'DataSpace'. Valid alternatives: ['Text']
t2-dataspace.pure	brace-body-to-paren	line at 2013	REJECTED	Unexpected token '('
t2-dataspace.pure	delete-field	groupId: 'org.fixture';	ACCEPTED	
t2-dataspace.pure	delete-field	artifactId: 'fixture-data-space';	ACCEPTED	
t2-dataspace.pure	delete-field	versionId: '1.0.0';	ACCEPTED	
t2-dataspace.pure	drop-semicolon	artifactId: 'fixture-data-space';	REJECTED	Unexpected token
t2-dataspace.pure	drop-semicolon	versionId: '1.0.0';	REJECTED	Unexpected token
t2-dataspace.pure	drop-semicolon	groupId: 'org.fixture';	REJECTED	Unexpected token
t2-dataspace.pure	duplicate-field	groupId: 'org.fixture';	ACCEPTED	
t2-dataspace.pure	duplicate-field	artifactId: 'fixture-data-space';	ACCEPTED	
t2-dataspace.pure	duplicate-field	versionId: '1.0.0';	ACCEPTED	
t2-dataspace.pure	island-close-plain	offset 1071	ACCEPTED	
t2-dataspace.pure	island-close-plain	offset 1110	ACCEPTED	
t2-dataspace.pure	island-close-plain	offset 2406	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [';', '#{', '}#', '#']
t2-dataspace.pure	island-open-plain	offset 1067	ACCEPTED	
t2-dataspace.pure	island-open-plain	offset 1106	ACCEPTED	
t2-dataspace.pure	island-open-plain	offset 2363	REJECTED	Unexpected token '{'
t2-dataspace.pure	keyword-lowercase	Combined -> combined	ACCEPTED	
t2-dataspace.pure	keyword-lowercase	DataSpace -> dataSpace	ACCEPTED	
t2-dataspace.pure	keyword-lowercase	Firm -> firm	ACCEPTED	
t2-dataspace.pure	swap-siblings	groupId: 'org.fixture';	ACCEPTED	
t2-dataspace.pure	swap-siblings	artifactId: 'fixture-data-space';	ACCEPTED	
t2-dataspace.pure	swap-siblings	name: 'Context 1';	ACCEPTED	
t2-dataspace.pure	wrong-section	DataSpace -> Text	REJECTED	Unexpected token 'DataSpace'. Valid alternatives: ['Text']
t2-deephaven.pure	brace-body-to-paren	line at 2810	REJECTED	Unexpected token '('
t2-deephaven.pure	brace-body-to-paren	line at 3066	REJECTED	Unexpected token '('
t2-deephaven.pure	delete-field	import abc::abc::*;	ACCEPTED	
t2-deephaven.pure	delete-field	applicationName: 'MyTestApp';	REJECTED	Field 'applicationName' is required
t2-deephaven.pure	delete-field	function: fixture::deephaven::myFunc(String[1], Integer[*]):	REJECTED	Field 'function' is required
t2-deephaven.pure	drop-semicolon	applicationName: 'MyTestApp';	REJECTED	Unexpected token
t2-deephaven.pure	drop-semicolon	function: fixture::deephaven::myFunc(String[1], Integer[*]):	REJECTED	Unexpected token
t2-deephaven.pure	drop-semicolon	import abc::abc::*;	REJECTED	Unexpected token
t2-deephaven.pure	duplicate-field	import abc::abc::*;	ACCEPTED	
t2-deephaven.pure	duplicate-field	applicationName: 'MyTestApp';	REJECTED	Field 'applicationName' should be specified only once
t2-deephaven.pure	duplicate-field	function: fixture::deephaven::myFunc(String[1], Integer[*]):	REJECTED	Field 'function' should be specified only once
t2-deephaven.pure	island-close-plain	offset 3196	REJECTED	Unexpected token
t2-deephaven.pure	keyword-lowercase	BOOLEAN -> bOOLEAN	ACCEPTED	
t2-deephaven.pure	keyword-lowercase	Conn -> conn	ACCEPTED	
t2-deephaven.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
t2-deephaven.pure	paren-body-to-brace	line at 2477	REJECTED	Unexpected token '{'. Valid alternatives: ['(']
t2-deephaven.pure	swap-siblings	applicationName: 'MyTestApp';	ACCEPTED	
t2-deephaven.pure	swap-siblings	function: fixture::deephaven::myFunc(String[1], Integer[*]):	ACCEPTED	
t2-deephaven.pure	swap-siblings	description: 'A test app';	ACCEPTED	
t2-deephaven.pure	wrong-section	Deephaven -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
t2-duckdb.pure	brace-body-to-paren	line at 518	REJECTED	Unexpected token '('
t2-duckdb.pure	delete-field	store: fixture::t2::Db;	ACCEPTED	
t2-duckdb.pure	delete-field	type: DuckDB;	REJECTED	Field 'type' is required
t2-duckdb.pure	delete-field	path: '/test';	ACCEPTED	
t2-duckdb.pure	drop-semicolon	store: fixture::t2::Db;	REJECTED	Unexpected token
t2-duckdb.pure	drop-semicolon	type: DuckDB;	REJECTED	Unexpected token
t2-duckdb.pure	drop-semicolon	path: '/test';	REJECTED	Unexpected token
t2-duckdb.pure	duplicate-field	store: fixture::t2::Db;	REJECTED	Field 'store' should be specified only once
t2-duckdb.pure	duplicate-field	type: DuckDB;	REJECTED	Field 'type' should be specified only once
t2-duckdb.pure	duplicate-field	path: '/test';	REJECTED	Field 'path' should be specified only once
t2-duckdb.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
t2-duckdb.pure	keyword-lowercase	DuckDB -> duckDB	ACCEPTED	
t2-duckdb.pure	keyword-lowercase	DuckDBFull -> duckDBFull	ACCEPTED	
t2-duckdb.pure	swap-siblings	store: fixture::t2::Db;	ACCEPTED	
t2-duckdb.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
t2-elasticsearch.pure	brace-body-to-paren	line at 1223	REJECTED	Unexpected token '('
t2-elasticsearch.pure	brace-body-to-paren	line at 2197	REJECTED	Unexpected token '('
t2-elasticsearch.pure	delete-field	import abc::*;	ACCEPTED	
t2-elasticsearch.pure	delete-field	store: fixture::es::Store;	REJECTED	Field ''store'' is required
t2-elasticsearch.pure	delete-field	clusterDetails: # URL { http://dummyurl.com:1234/api }#;	REJECTED	Field ''clusterDetails'' is required
t2-elasticsearch.pure	drop-semicolon	import abc::*;	REJECTED	Unexpected token
t2-elasticsearch.pure	drop-semicolon	store: fixture::es::Store;	REJECTED	Unexpected token
t2-elasticsearch.pure	drop-semicolon	clusterDetails: # URL { http://dummyurl.com:1234/api }#;	REJECTED	Unexpected token
t2-elasticsearch.pure	duplicate-field	import abc::*;	ACCEPTED	
t2-elasticsearch.pure	duplicate-field	store: fixture::es::Store;	REJECTED	Field ''store'' should be specified only once
t2-elasticsearch.pure	duplicate-field	clusterDetails: # URL { http://dummyurl.com:1234/api }#;	REJECTED	Field ''clusterDetails'' should be specified only once
t2-elasticsearch.pure	island-close-plain	offset 911	ACCEPTED	
t2-elasticsearch.pure	island-close-plain	offset 2283	REJECTED	URL is not valid
t2-elasticsearch.pure	island-close-plain	offset 2445	REJECTED	Unexpected token
t2-elasticsearch.pure	keyword-lowercase	Boolean -> boolean	ACCEPTED	
t2-elasticsearch.pure	keyword-lowercase	Byte -> byte	ACCEPTED	
t2-elasticsearch.pure	keyword-lowercase	Conn -> conn	ACCEPTED	
t2-elasticsearch.pure	swap-siblings	store: fixture::es::Store;	ACCEPTED	
t2-elasticsearch.pure	wrong-section	Elasticsearch -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
t2-functionjar.pure	brace-body-to-paren	line at 980	REJECTED	Unexpected token '('
t2-functionjar.pure	brace-body-to-paren	line at 1312	REJECTED	Unexpected token '('
t2-functionjar.pure	delete-field	import fixture::fj::*;	ACCEPTED	
t2-functionjar.pure	delete-field	ownership: Deployment { identifier: '17' };	REJECTED	Field 'ownership' is required
t2-functionjar.pure	delete-field	function: fixture::fj::queryFunction(Integer[1]):String[1];	REJECTED	Field 'function' is required
t2-functionjar.pure	drop-semicolon	ownership: Deployment { identifier: '17' };	REJECTED	Unexpected token
t2-functionjar.pure	drop-semicolon	function: fixture::fj::queryFunction(Integer[1]):String[1];	REJECTED	Unexpected token
t2-functionjar.pure	drop-semicolon	import fixture::fj::*;	REJECTED	Unexpected token
t2-functionjar.pure	duplicate-field	import fixture::fj::*;	ACCEPTED	
t2-functionjar.pure	duplicate-field	ownership: Deployment { identifier: '17' };	REJECTED	Field 'ownership' should be specified only once
t2-functionjar.pure	duplicate-field	function: fixture::fj::queryFunction(Integer[1]):String[1];	REJECTED	Field 'function' should be specified only once
t2-functionjar.pure	keyword-lowercase	Deployment -> deployment	ACCEPTED	
t2-functionjar.pure	keyword-lowercase	FunctionJar -> functionJar	ACCEPTED	
t2-functionjar.pure	keyword-lowercase	Integer -> integer	ACCEPTED	
t2-functionjar.pure	swap-siblings	ownership: Deployment { identifier: '17' };	ACCEPTED	
t2-functionjar.pure	swap-siblings	function: fixture::fj::queryFunction(Integer[1]):String[1];	ACCEPTED	
t2-functionjar.pure	swap-siblings	documentation: 'a function jar named with a reserved word';	ACCEPTED	
t2-functionjar.pure	wrong-section	FunctionJar -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
t2-hostedservice.pure	brace-body-to-paren	line at 2313	REJECTED	Unexpected token '('
t2-hostedservice.pure	brace-body-to-paren	line at 3914	REJECTED	Unexpected token '('
t2-hostedservice.pure	brace-body-to-paren	line at 4205	REJECTED	Unexpected token '('
t2-hostedservice.pure	delete-field	import fixture::hs::*;	ACCEPTED	
t2-hostedservice.pure	delete-field	pattern: '/fixture/hosted/{key}';	REJECTED	Field 'pattern' is required
t2-hostedservice.pure	delete-field	ownership: UserList { users: ['user1', 'user2'] };	REJECTED	Field 'ownership' is required
t2-hostedservice.pure	drop-semicolon	pattern: '/fixture/hosted/{key}';	REJECTED	Unexpected token
t2-hostedservice.pure	drop-semicolon	ownership: UserList { users: ['user1', 'user2'] };	REJECTED	Unexpected token
t2-hostedservice.pure	drop-semicolon	import fixture::hs::*;	REJECTED	Unexpected token
t2-hostedservice.pure	duplicate-field	import fixture::hs::*;	ACCEPTED	
t2-hostedservice.pure	duplicate-field	pattern: '/fixture/hosted/{key}';	REJECTED	Field 'pattern' should be specified only once
t2-hostedservice.pure	duplicate-field	ownership: UserList { users: ['user1', 'user2'] };	REJECTED	Field 'ownership' should be specified only once
t2-hostedservice.pure	island-close-plain	offset 3368	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
t2-hostedservice.pure	island-close-plain	offset 3810	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
t2-hostedservice.pure	island-open-plain	offset 3245	REJECTED	Unexpected token '{'
t2-hostedservice.pure	island-open-plain	offset 3732	REJECTED	Unexpected token '{'
t2-hostedservice.pure	keyword-lowercase	Binding -> binding	ACCEPTED	
t2-hostedservice.pure	keyword-lowercase	Config -> config	ACCEPTED	
t2-hostedservice.pure	keyword-lowercase	DeployConfig -> deployConfig	ACCEPTED	
t2-hostedservice.pure	swap-siblings	pattern: '/fixture/hosted/{key}';	ACCEPTED	
t2-hostedservice.pure	swap-siblings	ownership: UserList { users: ['user1', 'user2'] };	ACCEPTED	
t2-hostedservice.pure	swap-siblings	function: fixture::hs::queryFunction(Integer[1]):String[1];	ACCEPTED	
t2-hostedservice.pure	wrong-section	HostedService -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
t2-memsql.pure	brace-body-to-paren	line at 1860	REJECTED	Unexpected token '('
t2-memsql.pure	brace-body-to-paren	line at 2296	REJECTED	Unexpected token '('
t2-memsql.pure	brace-body-to-paren	line at 2567	REJECTED	Unexpected token '('
t2-memsql.pure	delete-field	store: fixture::ms::Db;	ACCEPTED	
t2-memsql.pure	delete-field	type: MemSQL;	REJECTED	Field 'type' is required
t2-memsql.pure	delete-field	host: 'localhost';	REJECTED	Field 'host' is required
t2-memsql.pure	drop-semicolon	type: MemSQL;	REJECTED	Unexpected token
t2-memsql.pure	drop-semicolon	host: 'localhost';	REJECTED	Unexpected token
t2-memsql.pure	drop-semicolon	store: fixture::ms::Db;	REJECTED	Unexpected token
