test	mode	position	shapes	sql_prefix	census_arms
meta::relational::tests::groupBy::testMin	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", min("root".quantity) as "min" from tradeTable as "root" left outer join productSchema.productTable as "producttable_	exists-material
meta::relational::tests::groupBy::testObjectLevelGroupByWTDSLevelGroupByWTDSExtend	default	filter+groupBy	plain-join	select "persontable_0"."FirstName" as "FirstName", "persontable_0"."Case Column" as "Case Column", group_concat("LastName" separator ',') as "Joined Last Name" 	exists-material
meta::relational::tests::groupBy::testObjectLevelGroupByWTDSLevelGroupByWTDSExtend	default	filter+groupBy	plain-join	select "persontable_0"."FirstName" as "FirstName", "persontable_0"."Case Column" as "Case Column", listagg("LastName", ',') as "Joined Last Name" from (select "	exists-material
meta::relational::tests::groupBy::testReprocessGroupByAlias	default	groupBy	filtered-subselect-join	select "salespersontable_0".lastName as "last name", "salespersontable_0".firm_name as "legal name", sum("root".quantity) as "quantity" from orderTable as "root	exists-material
meta::relational::tests::groupBy::testSimple	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum("root".quantity) as "cnt" from tradeTable as "root" left outer join productSchema.productTable as "producttable_	exists-material
meta::relational::tests::groupBy::testSimpleOneAggInAnArray	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum("root".quantity) as "cnt" from tradeTable as "root" left outer join productSchema.productTable as "producttable_	exists-material
meta::relational::tests::groupBy::testSimpleTwoAggs	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum("root".quantity) as "cnt", sum("root".quantity) * 2 as "cnt2" from tradeTable as "root" left outer join productS	exists-material
meta::relational::tests::groupBy::testSimpleWithFilter	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", "root".quantity as "qt", sum("root".quantity) as "cnt" from tradeTable as "root" left outer join productSchema.produ	exists-material
meta::relational::tests::groupBy::testStdDevPopulation	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", stddev_pop("root".quantity) as "stdDevPopulation" from tradeTable as "root" left outer join productSchema.productTab	exists-material
meta::relational::tests::groupBy::testStdDevSample	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", stddev_samp("root".quantity) as "stdDevSample" from tradeTable as "root" left outer join productSchema.productTable 	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly1	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly1	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly2	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly2	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly3	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUniqueValueOnly4	default	filter+groupBy	top-where-pred	select "producttable_0".NAME as "prodName", count(distinct("root".quantity)) as "count", case when count(distinct("root".quantity)) = 1 then max("root".quantity	exists-material
meta::relational::tests::groupBy::testUsingAFunctionInTheMapLambdaAndAMultiplyInTheAggregation	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", (sum(case when (("producttable_0".NAME is not null and "producttable_0".NAME like '%X') or ("producttable_0".NAME is	exists-material
meta::relational::tests::groupBy::testUsingAFunctionInTheMapLambdaAndAMultiplyInTheAggregation	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum(case when ("producttable_0".NAME is not null and "producttable_0".NAME like '%X') or ("producttable_0".NAME is n	exists-material
meta::relational::tests::groupBy::testUsingAMultiplyInTheAggregation	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum("root".quantity) * 2 as "cnt" from tradeTable as "root" left outer join productSchema.productTable as "productta	exists-material
meta::relational::tests::groupBy::testUsingAnAssociationInTheMapFunction	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", (sum(case when ("accounttable_0".name is not null and "accounttable_0".name like 'Account 1%') then "root".quantity 	exists-material
meta::relational::tests::groupBy::testUsingAnAssociationInTheMapFunction	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum(case when "accounttable_0".name is not null and "accounttable_0".name like 'Account 1%' then "root".quantity els	exists-material
meta::relational::tests::groupBy::testUsingAnAssociationInTheMapFunctionNestedInAFunctionAndTwoGroupBysUsingOneAssociation	default	groupBy	grouped-subselect-join	select "root".LEGALNAME as "legalName", "addresstable_0".NAME as "addressName", sum("firmtable_1".aggCol) * 2 as "employeeAge" from firmTable as "root" left out	exists-material
meta::relational::tests::groupBy::testUsingFunctionInMapLambdaTakingAFirstParameterThatMustBeProcessed	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", sum("root".quantity * 2) * 2 as "cnt" from tradeTable as "root" left outer join productSchema.productTable as "produ	exists-material
meta::relational::tests::groupBy::testUsingFunctionInMapLambdaTakingAParameter	default	groupBy	grouped-subselect-join	select "root".LEGALNAME as "legalName", "addresstable_0".NAME as "addressName", sum("firmtable_1".aggCol) * 2 as "employeeAge" from firmTable as "root" left out	exists-material
meta::relational::tests::groupBy::testUsingFunctionInMapLambdaTakingAParameterPartial	default	groupBy	grouped-subselect-join	select "root".LEGALNAME as "legalName", "addresstable_0".NAME as "addressName", sum("firmtable_1".aggCol) * 2 as "employeeAge" from firmTable as "root" left out	exists-material
meta::relational::tests::groupBy::testUsingFunctionInMapLambdaTakingAPathParameterPartial	default	groupBy	grouped-subselect-join	select "root".LEGALNAME as "legalName", "addresstable_0".NAME as "addressName", sum("firmtable_1".aggCol) * 2 as "employeeAge" from firmTable as "root" left out	exists-material
meta::relational::tests::groupBy::testVariancePopulation	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", var_pop("root".quantity) as "variancePopulation" from tradeTable as "root" left outer join productSchema.productTabl	exists-material
meta::relational::tests::groupBy::testVarianceSample	default	groupBy	plain-join	select "producttable_0".NAME as "prodName", var_samp("root".quantity) as "varianceSample" from tradeTable as "root" left outer join productSchema.productTable a	exists-material
meta::relational::tests::injection::testProject	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::injection::testProjectThroughAssociation	default	map+project	no-sql-golden		exists-material
meta::relational::tests::injection::testProjectThroughAssociationAutoMap	default	map+project	no-sql-golden		exists-material
meta::relational::tests::m2m2r::testPreeavalOnSort	default	project	no-sql-golden		exists-material
meta::relational::tests::m2m2r::testProp1	default	project	no-sql-golden		exists-material
meta::relational::tests::m2m2r::testProp2	default	project	no-sql-golden		exists-material
meta::relational::tests::m2m2r::testProp3	default	project	no-sql-golden		exists-material
meta::relational::tests::m2m2r::testProp4	default	filter+project	no-sql-golden		exists-material
meta::relational::tests::map::testAdvancedDerivedPropertyThroughAssociation	default	map	plain-join	select concat(case when true then concat("persontable_0".LASTNAME, ', ', "persontable_0".FIRSTNAME) else concat("persontable_0".FIRSTNAME, ' ', "persontable_0".	exists-material
meta::relational::tests::map::testAssociationDeep	default	other	plain-join	select "addresstable_0".NAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) left outer join add	exists-material
meta::relational::tests::map::testAssociationToManyAutoMap	default	other	plain-join	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID)	exists-material
meta::relational::tests::map::testAssociationToOneAutoMap	default	other	plain-join	select "addresstable_0".NAME from personTable as "root" left outer join addressTable as "addresstable_0" on ("addresstable_0".ID = "root".ADDRESSID)	exists-material
meta::relational::tests::map::testBooleanFilterWithProperty	default	filter+map	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) where "persontab	exists-material
meta::relational::tests::map::testDeepBooleanFilterWithProperty	default	filter+map	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) left outer join 	exists-material
meta::relational::tests::map::testDeepBooleanFilterWithPropertyUsingOr	default	filter+map	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) left outer join 	exists-material
meta::relational::tests::map::testFilterOnSimpleTypeProperty	default	filter	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) where "persontab	exists-material
meta::relational::tests::map::testFilterOnSimpleTypePropertyDeep	default	filter	top-where-pred	select "addresstable_0".NAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) left outer join add	exists-material
meta::relational::tests::map::testFilterOnSimpleTypePropertyEq	default	filter	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) where "persontab	exists-material
meta::relational::tests::map::testFilterWithProperty	default	filter+map	top-where-pred	select "persontable_0".LASTNAME from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) where "persontab	exists-material
meta::relational::tests::map::testGlobalAggregation	default	other	plain-join	select count(*) from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID)	correlated-count-reducer
meta::relational::tests::map::testSequenceMapWithConfusingSetImplementation	default	map+project	top-where-pred	select "root".name as "name", 'ok' as "p_name", "orgtable_1".name as "p_p_name" from orgTable as "root" left outer join orgTable as "orgtable_1" on ("root".pare	correlated-count-reducer|exists-material
meta::relational::tests::map::testSubAggregationMultiLevel	default	map	plain-join	select avg(1.0 * "persontable_0".AGE) from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) group by "	correlated-agg-reducer|exists-material
meta::relational::tests::map::testSubAggregationMultiLevel	default	map	plain-join	select avg(1.0 * "persontable_0".AGE) from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID)	correlated-agg-reducer|exists-material
meta::relational::tests::map::testSubAggregationMultiLevel	default	map	grouped-subselect-join	select "firmtable_1".aggCol from firmTable as "root" left outer join (select "firmtable_1".ID as ID, avg(1.0 * "persontable_0".AGE) as aggCol from firmTable as 	correlated-agg-reducer|exists-material
meta::relational::tests::map::testSubAggregationMultiLevelJoinString	default	map	plain-join	select listagg("persontable_0".LASTNAME, '') from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID) gro	exists-material
meta::relational::tests::map::testSubAggregationMultiLevelJoinString	default	map	plain-join	select listagg("persontable_0".LASTNAME, ',') from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID)	exists-material
meta::relational::tests::map::testSubAggregationMultiLevelJoinString	default	map	plain-join	select "firmtable_1".aggCol from firmTable as "root" left outer join (select "firmtable_2".ID as ID, listagg("firmtable_2".LASTNAME, ',') as aggCol from (select	exists-material
meta::relational::tests::mapping::association::embedded::testFirmToOrganisations	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::embedded::testPersonToFirmAddressNestedInlineEmbedded	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::embedded::testPersonToFirmLocationsInlineEmbedded	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::embedded::testPersonToOrganisations	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::embedded::testPersonToOrganisationsInlineEmbedded	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::inheritence::testBuilderRoutingOfAggFunctionParameters	default	groupBy	on-clause-literal-pred	select "root".name as "name", sum("car_0".db_car_wheelCount) as "wheelCountSum" from Person as "root" left outer join Car as "car_0" on ("root".ID = "car_0".c_P	correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testFilterProject	default	filter+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testFilterProjectBooleanInFilter	default	filter+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testGetAllFilterWithAssociation	default	filter	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testGroupBy	default	map+project+groupBy	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testProjectTwoLambdas	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testQuery	default	filter	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testSubTypeFilter	default	filter	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::inheritence::testSubTypeInColumnProjectionsWithInlineMappings	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::inheritence::testSubTypeProjectSharedNonDirectlyRouted	default	map+project	no-sql-golden		correlated-count-reducer
meta::relational::tests::mapping::association::inheritence::testSubTypeProjectWithAssociation	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testFirmToEmployees	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testFirmToEmployeesIncludes	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testFirmToEmployeesWithDefaults	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testPersonToFirm	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testPersonToFirmIncludes	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testPersonToFirmWithDefaults	default	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::association::testPersonToFirmWithDifferentRootMapping	default	project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::TestClassMappingsWithInnerFilterJoinedWithMilestoningDepthTwoNestedGeneration	default	map+project	top-where-pred	select cast("producttableviewnested_0".id as varchar) as "positionType" from tradeTable as "root" left outer join (select "root".id as id, "root".name as name, 	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testChainedJoinsWithUnionsAndIsolationWithProjectionQueryTableFilter	default	filter+map+project	filtered-subselect-join+top-where-pred	select "unionalias_2"."PersonSet1lastName_s1_PersonSet2lastName_s2" as "Employees" from (select "root".ID as "pk_0_0", null as "pk_0_1", "root".FirmID as FirmID	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testCorrelatedSubSqlQueryGeneration	default	project	filtered-subselect-join+on-clause-literal-pred+top-where-pred	select "root".name as "productName", "producttableview_0".type as "productClassificationTypes", "producttableview_0".type_description as "productClassificationD	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testCorrelatedSubSqlQueryGeneration	default	project	filtered-subselect-join+top-where-pred	select "root".name as "productName", "producttableview_0".type as "productClassificationTypes", "producttableview_0".type_description as "productClassificationD	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testInnerJoinClassMappingFilterAtPropertyLevelWithSameFilterInQuery	default	filter+project	filtered-subselect-join+top-where-pred	select "persontable_2".FIRSTNAME as "employees" from firmTable as "root" left outer join (select "persontable_1".FIRMID as FIRMID, "firmtable_1".LEGALNAME as LE	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testInnerJoinClassMappingFilterProjectingPropertyUsingFilterJoin	default	project	filtered-subselect-join+top-where-pred	select "persontable_1".LEGALNAME as "extraInfo" from (select "root".ID as ID, "root".FIRSTNAME as FIRSTNAME, "root".LASTNAME as LASTNAME, "root".AGE as AGE, "ro	correlated-count-reducer
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testLazyExecution	default	other	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testMergeForClassMappingInnerJoinFilter	default	project	filtered-subselect-join+on-clause-literal-pred+top-where-pred	select "root".LEGALNAME as "legalName", "persontable_0".FIRSTNAME as "firstName1", "persontable_2".FIRSTNAME as "firstName2" from firmTable as "root" left outer	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testMergeForClassMappingInnerJoinFilter1	default	project	filtered-subselect-join+top-where-pred	select "root".LEGALNAME as "legalName", "persontable_0".FIRSTNAME as "firstName1", "persontable_2".FIRSTNAME as "firstName3" from firmTable as "root" left outer	exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testMilestoneDatePropogationThruExistsConditionalClause	default	filter+map+project	no-sql-golden		exists-join-form-dedup|exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testPropertyProjectionQueryWithInnerJoinClassMappingWithMilestoningTableFilter	default	filter	on-clause-literal-pred+top-where-pred	select "root".id as "pk_0", "root".name as "pk_1", "root".id as "id", "root".name as "name", "root".type as "type", '2015-10-16' as "k_businessDate" from (selec	correlated-count-reducer|exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testPropertyProjectionQueryWithInnerJoinClassMappingWithMilestoningTableFilter	default	filter	top-where-pred	select "root".id as "pk_0", "root".name as "pk_1", "root".id as "id", "root".name as "name", "root".type as "type", '2015-10-16' as "k_businessDate" from (selec	correlated-count-reducer|exists-material
meta::relational::tests::mapping::classMappingFilterWithInnerJoin::testPropertyProjectionQueryWithInnerJoinEmbeddedMappingTable	default	map+project	filtered-subselect-join+top-where-pred	select "person_firm_denorm_2".PERSON_ADDRESS_NAME as "address" from (select distinct "person_firm_denorm_1".FIRM_LEGALNAME as FIRM_LEGALNAME, "person_firm_denor	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithCaseStatement	default	project	plain-join	select "root"."name" as "name", case when "if_other_info_0".IF_OTHER_NAME is null then 'Unknown' else "if_other_info_0".IF_OTHER_NAME end as "IfName" from (sele	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithDistinctInJoinWithFilter	default	filter+project	filtered-subselect-join+top-where-pred	select "root".IF_OTHER_NAME as "name", "account_info_0".IF_NAME as "incomeFunction" from IF_OTHER_INFO as "root" left outer join (select distinct "root".IF_CODE	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithDistinctInJoinWithFilterOnJoin	default	filter+project	exists-predicate+filtered-subselect-join+on-clause-literal-pred+top-where-pred	select "root".IF_OTHER_NAME as "name", "account_info_0".IF_NAME as "incomeFunction" from IF_OTHER_INFO as "root" left outer join (select distinct "root".IF_CODE	exists-join-form-dedup|exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithFullDenormSelfJoins	default	project	filtered-subselect-join+top-where-pred	select "root".ACCT_NAME as "accountName", "account_info_1".IF_NAME as "IncomeFunction", "account_info_2".DESKHEAD_NAME as "DeskHead" from ACCOUNT_INFO as "root"	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithFullDenormSelfJoinsWithFilterOnJoin	default	filter	filtered-subselect-join+top-where-pred	select "root".id as "pk_0", "root".ACC_NUM as "number", "root".ACCT_NAME as "name" from ACCOUNT_INFO as "root" left outer join (select distinct "root".IF_CODE, 	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithFullDenormSelfJoinsWithTwoFiltersOnJoin	default	filter	filtered-subselect-join+top-where-pred	select "root".id as "pk_0", "root".ACC_NUM as "number", "root".ACCT_NAME as "name" from ACCOUNT_INFO as "root" left outer join (select distinct "root".IF_CODE, 	exists-material
meta::relational::tests::mapping::distinct::testDistinctMappingWithSize	default	other	single-table	select count(*) from (select distinct "root".IF_CODE as "code", "root".IF_NAME as "name" from ACCOUNT_INFO as "root") as "subselect"	correlated-count-reducer
meta::relational::tests::mapping::distinct::testProjectDistinctMappingWithDistinctInJoin	default	project	filtered-subselect-join	select "root".IF_OTHER_NAME as "name", "account_info_0".IF_NAME as "incomeFunction" from IF_OTHER_INFO as "root" left outer join (select distinct "root".IF_CODE	exists-material
meta::relational::tests::mapping::distinct::testProjectDistinctMappingWithDistinctInJoinWithDup	default	project	filtered-subselect-join	select "root".IF_OTHER_NAME as "name", "account_info_0".IF_NAME as "incomeFunction" from IF_OTHER_INFO as "root" left outer join (select distinct "root".IF_NAME	exists-material
meta::relational::tests::mapping::dynajoin::testSelfJoinWithAggregateFunction	default	filter+map	no-sql-golden		exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestComplexExpression	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRO	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestComplexExpressionWithEnumMapping	default	filter+project	top-where-pred	select "root".BOND_STATUS as "status", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PR	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestDenormWithComplexFilter	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRO	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestEmbeddedToEmbedded	default	project	plain-join	select 'test' as "name" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRODUCT_ID = "bond_detail_0".BOND_ID)	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestFilter	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRO	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestFilterExistsOnEmbeddedProperty	default	filter+project	single-table	select "root".PRODUCT_NAME as "name" from PRODUCT_DENORM as "root" where "root".BOND_DETAILS like 'Bond%'	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestFilterExistsOnOtherwiseProperty	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRODUCT_ID = "bond_detail_0".BOND_I	exists-join-form-dedup|exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupBy	default	groupBy	plain-join	select "bond_detail_0".TYPE as "Bond Type", sum(case when "root".MARKET_NAME = 'LSE' then 5.0 else 1.0 end) as "Profit" from PRODUCT_DENORM as "root" left outer	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupBy	default	groupBy	plain-join	select "bond_detail_0".TYPE as "Bond Type", sum(case when "root".MARKET_NAME = 'LSE' then cast(5.0 as float) else cast(1.0 as float) end) as "Profit" from PRODU	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupByComplexAgg	default	groupBy	plain-join	select "bond_detail_0".TYPE as "Bond Type", sum(case when "bond_detail_0".TYPE like '5%' then 5.0 else 1.0 end) as "sum" from PRODUCT_DENORM as "root" left oute	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupByComplexAgg	default	groupBy	plain-join	select "bond_detail_0".TYPE as "Bond Type", sum(case when "bond_detail_0".TYPE like '5%' then cast(5.0 as float) else cast(1.0 as float) end) as "sum" from PROD	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupByComplexExpressionEmbeddedAndJoin	default	groupBy	plain-join	select "root".BOND_DETAILS as "Bond Type", sum(case when "bond_detail_0".TYPE like '5%' then 5.0 else 1.0 end) as "sum" from PRODUCT_DENORM as "root" left outer	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestGroupByComplexExpressionEmbeddedAndJoin	default	groupBy	plain-join	select "root".BOND_DETAILS as "Bond Type", sum(case when "bond_detail_0".TYPE like '5%' then cast(5.0 as float) else cast(1.0 as float) end) as "sum" from PRODU	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestProjectExistsOnEmbeddedProperty	default	project	single-table	select "root".BOND_DETAILS like 'Bond%' as "descriptionExists" from PRODUCT_DENORM as "root"	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestProjectExistsOnOtherwiseProperty	default	project	plain-join	select "bond_detail_0".TYPE = '15 years' as "typeExists" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRODUCT_ID = "b	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestProjection	default	project	plain-join	select "root".PRODUCT_NAME as "name", "root".BOND_DETAILS as "description", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DE	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestQualifierProperty	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name", case when "bond_detail_0".TYPE like '5%' then 5 else 0 end as "duration" from PRODUCT_DENORM as "root" left outer join BON	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestQualifierPropertyExpressionWithEmbeddedProperty	default	filter+project	single-table	select "root".PRODUCT_NAME as "name", concat('la', "root".BOND_DETAILS) as "description" from PRODUCT_DENORM as "root" where concat('', "root".BOND_DETAILS) is 	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestQualifierPropertyExpressionWithEmbeddedPropertyandJoinProperty	default	project	plain-join	select concat("bond_detail_0".TYPE, ' ', "root".BOND_DETAILS) as "fullName" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("ro	exists-material
meta::relational::tests::mapping::embedded::advanced::otherwiseTestQualifierPropertyExpressionWithPropertyInJoinOnly	default	filter+project	top-where-pred	select "root".PRODUCT_NAME as "name", "bond_detail_0".TYPE as "type" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRO	exists-material
meta::relational::tests::mapping::embedded::advanced::testProjectionOtherwise	default	project	single-table	select "root".PRODUCT_NAME as "name", "root".BOND_DETAILS as "description" from PRODUCT_DENORM as "root"	exists-material
meta::relational::tests::mapping::embedded::advanced::testProjectionOtherwiseDeepTraversal	default	project	plain-join	select "party_0".name as "holder" from PRODUCT_DENORM as "root" left outer join BOND_DETAIL as "bond_detail_0" on ("root".PRODUCT_ID = "bond_detail_0".BOND_ID) 	exists-material
meta::relational::tests::mapping::embedded::advanced::testProjectionOtherwiseDeepTraversal	default	project	plain-join	select "root".PRODUCT_NAME as "name", "party_0".name as "holder", "bondclassificationtable_0".type as "type" from PRODUCT_DENORM as "root" left outer join BOND_	exists-material
meta::relational::tests::mapping::embedded::advanced::testProjectionOtherwiseNonPrimitive	default	project	plain-join	select "root".PRODUCT_NAME as "name", "party_0".name as "holder", "bondclassificationtable_0".type as "type" from PRODUCT_DENORM as "root" left outer join BOND_	exists-material
meta::relational::tests::mapping::embedded::testDenormMappingOneToManyProjectLambdaSyntaxWithMap	default	project	plain-join	select "person_firm_denorm_2".PERSON_ADDRESS_NAME as "address" from (select distinct "person_firm_denorm_1".FIRM_LEGALNAME as FIRM_LEGALNAME, "person_firm_denor	exists-material
